# wl	flux	err
3.200000000000000000e+03	2.096299968918025766e-15	2.936080255200019852e-16
3.201000000000000000e+03	3.072727085225003117e-15	2.130053151352262056e-16
3.202000000000000000e+03	3.313891906715314483e-15	1.742286524950601472e-16
3.203000000000000000e+03	4.076531525224245269e-15	1.212223423333512088e-16
3.204000000000000000e+03	3.142977241910711583e-15	1.252663112219827035e-16
3.205000000000000000e+03	2.941994535299230993e-15	9.828069891923685825e-17
3.206000000000000000e+03	3.077724572866564937e-15	5.851691916063544279e-17
3.207000000000000000e+03	3.011927575203647261e-15	6.206052479833086090e-17
3.208000000000000000e+03	3.181970124052513652e-15	6.436262084742937402e-17
3.209000000000000000e+03	3.207903855530298746e-15	7.295510264129953324e-17
3.210000000000000000e+03	3.497806012092834041e-15	7.583269566575405755e-17
3.211000000000000000e+03	3.286082813186246893e-15	8.419479547065176396e-17
3.212000000000000000e+03	3.270352398003802412e-15	8.875189135833728026e-17
3.213000000000000000e+03	3.674610521894581867e-15	8.594135892320644099e-17
3.214000000000000000e+03	3.131169712276289705e-15	9.604869250146658267e-17
3.215000000000000000e+03	2.848674135256672704e-15	8.352700874450052486e-17
3.216000000000000000e+03	2.859752152327330163e-15	5.927101304883634461e-17
3.217000000000000000e+03	3.302121969539912401e-15	6.887308029983127398e-17
3.218000000000000000e+03	3.139075074060227853e-15	7.511997489605600704e-17
3.219000000000000000e+03	2.627429437865808096e-15	7.463115610361427986e-17
3.220000000000000000e+03	2.773285308166729266e-15	6.923396133140663134e-17
3.221000000000000000e+03	2.944285755450189843e-15	6.701629920155506633e-17
3.222000000000000000e+03	3.109440995452633117e-15	5.568345256633105532e-17
3.223000000000000000e+03	3.011294375157752528e-15	4.821959954380893257e-17
3.224000000000000000e+03	3.028671718416217423e-15	4.412720091260506619e-17
3.225000000000000000e+03	3.059719182869321501e-15	6.638027517888061300e-17
3.226000000000000000e+03	3.112268938079437838e-15	1.377835829148523983e-16
3.227000000000000000e+03	3.720969278786842690e-15	1.399364705460442742e-16
3.228000000000000000e+03	3.798551331819139204e-15	1.486017492244708630e-16
3.229000000000000000e+03	3.085018703787635984e-15	1.551999734809326031e-16
3.230000000000000000e+03	2.759298151381049348e-15	8.397216216374561526e-17
3.231000000000000000e+03	2.971486542427611682e-15	6.330573757683462375e-17
3.232000000000000000e+03	3.144508686141677497e-15	5.800179726485237496e-17
3.233000000000000000e+03	3.102787258217202138e-15	5.548474112109699169e-17
3.234000000000000000e+03	3.327583292505433009e-15	5.102249282641724665e-17
3.235000000000000000e+03	3.265674745233734365e-15	4.819571464814690998e-17
3.236000000000000000e+03	3.129871224070462605e-15	4.694923208159094927e-17
3.237000000000000000e+03	3.152995159921295980e-15	4.096940339941457776e-17
3.238000000000000000e+03	3.133904778985479743e-15	4.144435327163019900e-17
3.239000000000000000e+03	2.925285767930416141e-15	4.254924427904644442e-17
3.240000000000000000e+03	2.936380400291472397e-15	4.035556372094346258e-17
3.241000000000000000e+03	2.835395340967655771e-15	4.271086513650261737e-17
3.242000000000000000e+03	3.117764889200585229e-15	4.591506709660151437e-17
3.243000000000000000e+03	3.142150464470315306e-15	4.496754807521287237e-17
3.244000000000000000e+03	3.019279974526548986e-15	4.112210959588137317e-17
3.245000000000000000e+03	3.034683182549679362e-15	4.768015635183228098e-17
3.246000000000000000e+03	3.081911299048223326e-15	4.829563050905011303e-17
3.247000000000000000e+03	3.204810632959864483e-15	4.703870432501606735e-17
3.248000000000000000e+03	3.005018836892144688e-15	4.754800410030263908e-17
3.249000000000000000e+03	2.954690991701648817e-15	3.708642660769052400e-17
3.250000000000000000e+03	3.013815035742487558e-15	3.531564026834947268e-17
3.251000000000000000e+03	2.977057514752802109e-15	3.680906881084176813e-17
3.252000000000000000e+03	3.123623701610124850e-15	4.128605753233299508e-17
3.253000000000000000e+03	3.203420476320895728e-15	4.590924833660704721e-17
3.254000000000000000e+03	3.202965506106224854e-15	9.679141656237387578e-17
3.255000000000000000e+03	3.284272719572141884e-15	1.024656297672268087e-16
3.256000000000000000e+03	3.761849283172986618e-15	1.014209477699090854e-16
3.257000000000000000e+03	3.113627511369493815e-15	9.836848468802777081e-17
3.258000000000000000e+03	3.245245345034458704e-15	6.113799889638826137e-17
3.259000000000000000e+03	3.228877456710027377e-15	4.109641831033239511e-17
3.260000000000000000e+03	3.253199041673389599e-15	4.289376090779090034e-17
3.261000000000000000e+03	3.082759505100379113e-15	4.072504710637333741e-17
3.262000000000000000e+03	3.185841086575392617e-15	4.110981273010953110e-17
3.263000000000000000e+03	2.951761826014700474e-15	4.193317567386940862e-17
3.264000000000000000e+03	3.073835708826128285e-15	4.259873252132762955e-17
3.265000000000000000e+03	3.263660289699801953e-15	4.552656151082004585e-17
3.266000000000000000e+03	3.278705187075206747e-15	4.501921204138899132e-17
3.267000000000000000e+03	3.217273601598169931e-15	4.798571403330014656e-17
3.268000000000000000e+03	3.017668863775775629e-15	4.837309807432050694e-17
3.269000000000000000e+03	3.152769088426547030e-15	4.405431379778018536e-17
3.270000000000000000e+03	3.022697118359757922e-15	4.078060359621399723e-17
3.271000000000000000e+03	3.156222206056901480e-15	4.285446094800313482e-17
3.272000000000000000e+03	2.996482492933356474e-15	4.713218757700796234e-17
3.273000000000000000e+03	3.185720529624866592e-15	6.111456021596181639e-17
3.274000000000000000e+03	3.254406419138798791e-15	7.001128665407603272e-17
3.275000000000000000e+03	3.633824577768416937e-15	1.005616501537989843e-16
3.276000000000000000e+03	3.580145992732205091e-15	1.239697670483855019e-16
3.277000000000000000e+03	4.438561563776448140e-15	1.313853690734128027e-16
3.278000000000000000e+03	3.489111528191147201e-15	1.436300220671720384e-16
3.279000000000000000e+03	3.161306980217555847e-15	1.302391305372826421e-16
3.280000000000000000e+03	3.197457644542758198e-15	7.684582869988183555e-17
3.281000000000000000e+03	3.586211241347577286e-15	7.400591462331871014e-17
3.282000000000000000e+03	3.111875253412558298e-15	7.773654924134346899e-17
3.283000000000000000e+03	3.216251165229298532e-15	7.353209167570782791e-17
3.284000000000000000e+03	3.167781140961611351e-15	6.691932225416240436e-17
3.285000000000000000e+03	3.391925449917274432e-15	6.881090065161078145e-17
3.286000000000000000e+03	3.370052597925486654e-15	6.676312915092975718e-17
3.287000000000000000e+03	3.243959592192234235e-15	6.301880850179321548e-17
3.288000000000000000e+03	3.169754529220598184e-15	5.330716460211725429e-17
3.289000000000000000e+03	3.344119975128470337e-15	5.185710191307020935e-17
3.290000000000000000e+03	3.239315644088721631e-15	4.585339916885992177e-17
3.291000000000000000e+03	3.328802577457809258e-15	4.648461233238558430e-17
3.292000000000000000e+03	3.212337652413179231e-15	5.173815374895947714e-17
3.293000000000000000e+03	3.242913869006703589e-15	5.559290799613565255e-17
3.294000000000000000e+03	3.249496441138022474e-15	6.773456999193635869e-17
3.295000000000000000e+03	3.573259493331004714e-15	6.703301136664095054e-17
