# wl	flux	err
3.200000000000000000e+03	8.626354337550180083e-15	3.215385956011439598e-16
3.201000000000000000e+03	9.329076337631844683e-15	3.772637246688750046e-16
3.202000000000000000e+03	1.101798440893396967e-14	3.793337659288388055e-16
3.203000000000000000e+03	1.205875182818449523e-14	3.428979044311952887e-16
3.204000000000000000e+03	1.052916399505649838e-14	3.305222077290477276e-16
3.205000000000000000e+03	9.275205082783318602e-15	3.123478135292486514e-16
3.206000000000000000e+03	9.115551577564430703e-15	2.066852584258460373e-16
3.207000000000000000e+03	9.563968024643769586e-15	2.669990570744718833e-16
3.208000000000000000e+03	1.070008389149948594e-14	2.938606156854698310e-16
3.209000000000000000e+03	1.135536218249288446e-14	3.075818465657435726e-16
3.210000000000000000e+03	1.223844008520788311e-14	3.015740164879917958e-16
3.211000000000000000e+03	1.178418000692795448e-14	3.569634034289911144e-16
3.212000000000000000e+03	9.802214528058159279e-15	4.748056619256091844e-16
3.213000000000000000e+03	1.307505396455590228e-14	5.151454017596511202e-16
3.214000000000000000e+03	1.190207094818741495e-14	5.433746410287988117e-16
3.215000000000000000e+03	9.205426306312042974e-15	5.166665572094497103e-16
3.216000000000000000e+03	9.514347697241202047e-15	3.376157679940055291e-16
3.217000000000000000e+03	1.092600460788092437e-14	3.000665536071077985e-16
3.218000000000000000e+03	9.611986614016946032e-15	3.342197796575222263e-16
3.219000000000000000e+03	8.297426363202280934e-15	3.305657032944849905e-16
3.220000000000000000e+03	8.065498128069507630e-15	1.833082252402125720e-16
3.221000000000000000e+03	8.458709813732621372e-15	2.010029214540456069e-16
3.222000000000000000e+03	9.242934389515226527e-15	2.045441436900203514e-16
3.223000000000000000e+03	9.530960196795907846e-15	1.918643563153656607e-16
3.224000000000000000e+03	8.667128350235582647e-15	1.923508015692157093e-16
3.225000000000000000e+03	8.540588705096422115e-15	2.368195745346007096e-16
3.226000000000000000e+03	8.540744272146459795e-15	5.611568581990599429e-16
3.227000000000000000e+03	1.048787691863306035e-14	6.063374382016569427e-16
3.228000000000000000e+03	1.417781788322705887e-14	5.936666217720050953e-16
3.229000000000000000e+03	1.010340550645666701e-14	6.166658094622764004e-16
3.230000000000000000e+03	8.351074249151888795e-15	4.575703780155491872e-16
3.231000000000000000e+03	8.118035043330542123e-15	2.448575722056714033e-16
3.232000000000000000e+03	9.588621146978232594e-15	2.693459052306977631e-16
3.233000000000000000e+03	9.874130188621636890e-15	2.527107745337970366e-16
3.234000000000000000e+03	1.044360988998919826e-14	2.090238421126542488e-16
3.235000000000000000e+03	1.086420396832245039e-14	1.943647995814756305e-16
3.236000000000000000e+03	9.627969471978840455e-15	1.790515279673839311e-16
3.237000000000000000e+03	1.005944074623669319e-14	1.471891239324174446e-16
3.238000000000000000e+03	9.576339271369093202e-15	1.478874465962849545e-16
3.239000000000000000e+03	1.021330021733043837e-14	1.820905317603268593e-16
3.240000000000000000e+03	9.276238908702517512e-15	1.926803558603638417e-16
3.241000000000000000e+03	9.301635025117990245e-15	2.234646176874501570e-16
3.242000000000000000e+03	1.019938412430290544e-14	2.263553624344287386e-16
3.243000000000000000e+03	8.900783567010295655e-15	2.114527670832991009e-16
3.244000000000000000e+03	8.856097180410196817e-15	1.949608248956464385e-16
3.245000000000000000e+03	9.134488804410358096e-15	1.420152542618162882e-16
3.246000000000000000e+03	9.024634452572089723e-15	1.297391261857228231e-16
3.247000000000000000e+03	9.543986478659835508e-15	1.309548667897903751e-16
3.248000000000000000e+03	9.654437653289402831e-15	1.409993074711559666e-16
3.249000000000000000e+03	9.342320951757252101e-15	1.477930045710826517e-16
3.250000000000000000e+03	9.027522993154080336e-15	1.988011127120480230e-16
3.251000000000000000e+03	9.826209526412276443e-15	2.568572162147115449e-16
3.252000000000000000e+03	1.122917262770385677e-14	2.311633193534123156e-16
3.253000000000000000e+03	1.055274923011656710e-14	1.982228195916439629e-16
3.254000000000000000e+03	1.096555601028104883e-14	4.044260635930274431e-16
3.255000000000000000e+03	1.205224546541077110e-14	5.077922548457699050e-16
3.256000000000000000e+03	1.518500322342361515e-14	5.082149891802444595e-16
3.257000000000000000e+03	1.116859209243076674e-14	5.099916661014763510e-16
3.258000000000000000e+03	1.055472775236402428e-14	4.362017878013851881e-16
3.259000000000000000e+03	1.212700689220926372e-14	2.122213608580314113e-16
3.260000000000000000e+03	1.063162674114513431e-14	2.160035144000857943e-16
3.261000000000000000e+03	1.118368765308565756e-14	2.338648010796693418e-16
